capacity,n_layers,n_hidden,n_components,nll_MW,r2_MW,nll_NGC300,r2_NGC300,nll_ETG-vlM,r2_ETG-vlM,nll_ETG-lowM,r2_ETG-lowM,nll_ETG-medM,r2_ETG-medM,nll_ETG-hiM,r2_ETG-hiM,nll_mean,r2_mean
2x64,2,64,3,2.6844990253448486,0.07407714703803947,3.0898067951202393,0.03251772062139413,1.742634654045105,0.37418780994281053,1.5323024988174438,0.2620984048102738,1.2126426696777344,0.6005991591451285,1.6150988340377808,0.3932577838689757,1.9794974128405254,0.2894563375711037
2x64,2,64,5,2.722174644470215,0.0743246379054261,1.8553398847579956,0.029755795656838058,1.4972548484802246,0.3785139692910173,2.392033100128174,0.2618829828794589,1.2666716575622559,0.5973264063418231,1.458169937133789,0.4076772109880671,1.8652740120887756,0.29158016717710505
2x64,2,64,8,1.84794282913208,0.06286279626532809,1.8083876371383667,0.027487954005926185,1.545322299003601,0.38524947414638844,1.551596760749817,0.26107518080125336,1.2712271213531494,0.5940157955282297,1.360828161239624,0.3916308872672737,1.564217468102773,0.2870536813357332
2x64,2,64,12,1.7781956195831299,0.07459025141296138,1.9126754999160767,0.012475226330096345,1.4453160762786865,0.3779862595516491,1.5112483501434326,0.26086755036188647,1.2708488702774048,0.5893260233699945,1.4310669898986816,0.39983440277793714,1.5582252343495686,0.28584661896742086
2x64,2,64,16,1.7947015762329102,0.07466839200458264,1.7995285987854004,0.024795383996553233,1.4976050853729248,0.3820361764860142,1.5159598588943481,0.2617052823759698,1.2858840227127075,0.5963107706200591,1.4393643140792847,0.40669496098783775,1.555507242679596,0.29103516107850275
3x64,3,64,3,3.1243860721588135,0.0755976059465493,3.3543691635131836,0.027683000427410454,1.7189260721206665,0.3753219440208614,2.0297887325286865,0.2607612613406569,1.2704887390136719,0.5927008067120363,1.5114414691925049,0.3919848995552725,2.1682333747545877,0.2873415863337978
3x64,3,64,5,1.8479743003845215,0.06285814890633434,1.9238137006759644,0.026852821276011962,1.46282958984375,0.37325832862254904,2.6568667888641357,0.26160976496430977,1.2614359855651855,0.5944025164845316,1.6516954898834229,0.3928647829333529,1.80076930920283,0.28530772719784825
3x64,3,64,8,1.8197729587554932,0.07514038625730868,1.8252105712890625,0.027522951079864244,1.4778311252593994,0.37611938963847935,1.5641828775405884,0.2615904979825149,1.2670588493347168,0.5951708955421121,1.4853647947311401,0.39189339392221234,1.5732368628184001,0.28790625240374856
3x64,3,64,12,2.526796579360962,0.07361742695044093,1.818511962890625,0.026220974073211112,1.4300312995910645,0.3747353524043763,1.5356477499008179,0.26143265664659276,1.2809771299362183,0.5936544569141082,1.3607127666473389,0.3937067351127409,1.6587795813878377,0.28722793368357835
3x64,3,64,16,1.8097326755523682,0.07316927318855293,1.8718668222427368,0.026646116258959407,1.4316757917404175,0.375627912695329,1.511919379234314,0.26186534746266354,1.2631081342697144,0.5887407382335551,1.3679105043411255,0.39592868036508966,1.5427022178967793,0.28699634470069163
3x128,3,128,3,2.7922258377075195,0.07536376956442692,1.8517670631408691,0.027311408074026766,1.736454725265503,0.3747215243402092,1.5703043937683105,0.2605398025359833,1.2641992568969727,0.5972873028112127,1.4370087385177612,0.4063861371342794,1.775326669216156,0.29026832407668973
3x128,3,128,5,2.7482564449310303,0.07513873510609537,3.5716042518615723,0.027725851121200296,1.4754658937454224,0.3745227675428269,2.3171777725219727,0.2621805436658089,1.2640036344528198,0.5968291920140556,1.3713405132293701,0.3925159440364242,2.1246414184570312,0.2881521722477352
